Jan. 17, 2019   11:53:51
A.C. Impedance
File: 190117_014_gcaui_gc_5mm_k3fecn6_1m_na2so4_peis
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.272
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 180

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+4	1.156e+1	-1.180e+0	1.162e+1	-5.8
6.812e+4	1.162e+1	-1.555e+0	1.172e+1	-7.6
5.625e+4	1.173e+1	-2.003e+0	1.190e+1	-9.7
4.644e+4	1.184e+1	-2.454e+0	1.209e+1	-11.7
3.833e+4	1.199e+1	-2.973e+0	1.235e+1	-13.9
3.164e+4	1.215e+1	-3.554e+0	1.266e+1	-16.3
2.612e+4	1.235e+1	-4.229e+0	1.305e+1	-18.9
2.153e+4	1.258e+1	-5.018e+0	1.354e+1	-21.7
1.777e+4	1.286e+1	-5.945e+0	1.417e+1	-24.8
1.470e+4	1.322e+1	-7.032e+0	1.497e+1	-28.0
1.211e+4	1.366e+1	-8.290e+0	1.598e+1	-31.3
1.001e+4	1.422e+1	-9.754e+0	1.724e+1	-34.5
8.252e+3	1.492e+1	-1.146e+1	1.881e+1	-37.5
6.812e+3	1.583e+1	-1.341e+1	2.075e+1	-40.3
5.625e+3	1.704e+1	-1.562e+1	2.312e+1	-42.5
4.643e+3	1.859e+1	-1.807e+1	2.593e+1	-44.2
3.833e+3	2.056e+1	-2.077e+1	2.922e+1	-45.3
3.164e+3	2.306e+1	-2.371e+1	3.307e+1	-45.8
2.612e+3	2.616e+1	-2.682e+1	3.746e+1	-45.7
2.153e+3	2.996e+1	-2.996e+1	4.237e+1	-45.0
1.777e+3	3.448e+1	-3.295e+1	4.769e+1	-43.7
1.470e+3	3.970e+1	-3.558e+1	5.331e+1	-41.9
1.211e+3	4.553e+1	-3.769e+1	5.911e+1	-39.6
1.001e+3	5.184e+1	-3.904e+1	6.490e+1	-37.0
8.252e+2	5.835e+1	-3.959e+1	7.052e+1	-34.2
6.836e+2	6.482e+1	-3.938e+1	7.584e+1	-31.3
5.615e+2	7.104e+1	-3.847e+1	8.079e+1	-28.4
4.639e+2	7.682e+1	-3.702e+1	8.527e+1	-25.7
3.809e+2	8.200e+1	-3.521e+1	8.924e+1	-23.2
3.174e+2	8.658e+1	-3.319e+1	9.273e+1	-21.0
2.588e+2	9.061e+1	-3.113e+1	9.581e+1	-19.0
2.148e+2	9.412e+1	-2.918e+1	9.854e+1	-17.2
1.758e+2	9.720e+1	-2.744e+1	1.010e+2	-15.8
1.465e+2	9.987e+1	-2.599e+1	1.032e+2	-14.6
1.221e+2	1.023e+2	-2.479e+1	1.053e+2	-13.6
9.766e+1	1.046e+2	-2.362e+1	1.073e+2	-12.7
8.254e+1	1.068e+2	-2.266e+1	1.091e+2	-12.0
6.813e+1	1.088e+2	-2.223e+1	1.111e+2	-11.5
5.623e+1	1.109e+2	-2.226e+1	1.132e+2	-11.3
4.642e+1	1.130e+2	-2.267e+1	1.153e+2	-11.3
3.831e+1	1.152e+2	-2.339e+1	1.175e+2	-11.5
3.162e+1	1.174e+2	-2.440e+1	1.199e+2	-11.7
2.610e+1	1.197e+2	-2.563e+1	1.224e+2	-12.1
2.154e+1	1.222e+2	-2.712e+1	1.251e+2	-12.5
1.778e+1	1.249e+2	-2.890e+1	1.282e+2	-13.0
1.468e+1	1.279e+2	-3.099e+1	1.316e+2	-13.6
1.212e+1	1.311e+2	-3.337e+1	1.352e+2	-14.3
1.000e+1	1.344e+2	-3.608e+1	1.392e+2	-15.0
8.254e+0	1.381e+2	-3.910e+1	1.435e+2	-15.8
6.813e+0	1.421e+2	-4.254e+1	1.483e+2	-16.7
5.623e+0	1.465e+2	-4.635e+1	1.537e+2	-17.6
4.642e+0	1.514e+2	-5.052e+1	1.596e+2	-18.5
3.831e+0	1.567e+2	-5.518e+1	1.662e+2	-19.4
3.162e+0	1.625e+2	-6.034e+1	1.734e+2	-20.4
2.610e+0	1.690e+2	-6.610e+1	1.814e+2	-21.4
2.154e+0	1.760e+2	-7.255e+1	1.904e+2	-22.4
1.778e+0	1.840e+2	-7.973e+1	2.006e+2	-23.4
1.468e+0	1.930e+2	-8.766e+1	2.120e+2	-24.4
1.212e+0	2.025e+2	-9.633e+1	2.243e+2	-25.4
1.000e+0	2.126e+2	-1.057e+2	2.374e+2	-26.4
